id,domain,question,option_A,option_B,option_C,option_D,answer,explanation
GEOU-045,Geography,Which ocean touches India?,Atlantic,Indian,Pacific,Arctic,B,India borders the Indian Ocean.
GEOU-046,Geography,Identify: Which is a peninsula?,India,China,Russia,Canada,A,India is a peninsula.
GEOU-047,Geography,Choose correctly: Which country is landlocked?,Nepal,India,Australia,Japan,A,Nepal has no sea coast.
GEOU-048,Geography,"In geography, Which is a volcano?",Everest,Kilimanjaro,K2,Denali,B,Kilimanjaro is a volcanic mountain.
GEOU-049,Geography,Which is a delta river?,Ganga,Amazon,Nile,All,D,All form deltas.
GEOU-050,Geography,Identify: Which region is coldest?,Sahara,Arctic,Amazon,India,B,Arctic is extremely cold.
GEOU-051,Geography,Choose correctly: Which city is known as Pink City?,Delhi,Jaipur,Agra,Udaipur,B,Jaipur is called Pink City.
GEOU-052,Geography,"In geography, Which river is longest in India?",Yamuna,Ganga,Godavari,Krishna,B,Ganga is longest in India.
GEOU-053,Geography,Which country is in Europe?,India,France,Brazil,Japan,B,France is in Europe.
GEOU-054,Geography,Identify: Which desert is in India?,Sahara,Gobi,Thar,Arabian,C,Thar Desert is in India.
GEOU-055,Geography,Choose correctly: Which ocean touches India?,Atlantic,Indian,Pacific,Arctic,B,India borders the Indian Ocean.
GEOU-056,Geography,"In geography, Which is a peninsula?",India,China,Russia,Canada,A,India is a peninsula.
GEOU-057,Geography,Which country is landlocked?,Nepal,India,Australia,Japan,A,Nepal has no sea coast.
GEOU-058,Geography,Identify: Which is a volcano?,Everest,Kilimanjaro,K2,Denali,B,Kilimanjaro is a volcanic mountain.
GEOU-059,Geography,Choose correctly: Which is a delta river?,Ganga,Amazon,Nile,All,D,All form deltas.
GEOU-060,Geography,"In geography, Which region is coldest?",Sahara,Arctic,Amazon,India,B,Arctic is extremely cold.
GEOU-061,Geography,Which city is known as Pink City?,Delhi,Jaipur,Agra,Udaipur,B,Jaipur is called Pink City.
GEOU-062,Geography,Identify: Which river is longest in India?,Yamuna,Ganga,Godavari,Krishna,B,Ganga is longest in India.
GEOU-063,Geography,Choose correctly: Which country is in Europe?,India,France,Brazil,Japan,B,France is in Europe.
GEOU-064,Geography,"In geography, Which desert is in India?",Sahara,Gobi,Thar,Arabian,C,Thar Desert is in India.
GEOU-065,Geography,Which ocean touches India?,Atlantic,Indian,Pacific,Arctic,B,India borders the Indian Ocean.
GEOU-066,Geography,Identify: Which is a peninsula?,India,China,Russia,Canada,A,India is a peninsula.
GEOU-067,Geography,Choose correctly: Which country is landlocked?,Nepal,India,Australia,Japan,A,Nepal has no sea coast.
GEOU-068,Geography,"In geography, Which is a volcano?",Everest,Kilimanjaro,K2,Denali,B,Kilimanjaro is a volcanic mountain.
GEOU-069,Geography,Which is a delta river?,Ganga,Amazon,Nile,All,D,All form deltas.
GEOU-070,Geography,Identify: Which region is coldest?,Sahara,Arctic,Amazon,India,B,Arctic is extremely cold.
GEOU-071,Geography,Choose correctly: Which city is known as Pink City?,Delhi,Jaipur,Agra,Udaipur,B,Jaipur is called Pink City.
GEOU-072,Geography,"In geography, Which river is longest in India?",Yamuna,Ganga,Godavari,Krishna,B,Ganga is longest in India.
GEOU-073,Geography,Which country is in Europe?,India,France,Brazil,Japan,B,France is in Europe.
GEOU-074,Geography,Identify: Which desert is in India?,Sahara,Gobi,Thar,Arabian,C,Thar Desert is in India.
GEOU-075,Geography,Choose correctly: Which ocean touches India?,Atlantic,Indian,Pacific,Arctic,B,India borders the Indian Ocean.
GEOU-076,Geography,"In geography, Which is a peninsula?",India,China,Russia,Canada,A,India is a peninsula.
GEOU-077,Geography,Which country is landlocked?,Nepal,India,Australia,Japan,A,Nepal has no sea coast.
GEOU-078,Geography,Identify: Which is a volcano?,Everest,Kilimanjaro,K2,Denali,B,Kilimanjaro is a volcanic mountain.
GEOU-079,Geography,Choose correctly: Which is a delta river?,Ganga,Amazon,Nile,All,D,All form deltas.
GEOU-080,Geography,"In geography, Which region is coldest?",Sahara,Arctic,Amazon,India,B,Arctic is extremely cold.
GEOU-081,Geography,Which city is known as Pink City?,Delhi,Jaipur,Agra,Udaipur,B,Jaipur is called Pink City.
GEOU-082,Geography,Identify: Which river is longest in India?,Yamuna,Ganga,Godavari,Krishna,B,Ganga is longest in India.
GEOU-083,Geography,Choose correctly: Which country is in Europe?,India,France,Brazil,Japan,B,France is in Europe.
GEOU-084,Geography,"In geography, Which desert is in India?",Sahara,Gobi,Thar,Arabian,C,Thar Desert is in India.
GEOU-085,Geography,Which ocean touches India?,Atlantic,Indian,Pacific,Arctic,B,India borders the Indian Ocean.
GEOU-086,Geography,Identify: Which is a peninsula?,India,China,Russia,Canada,A,India is a peninsula.
GEOU-087,Geography,Choose correctly: Which country is landlocked?,Nepal,India,Australia,Japan,A,Nepal has no sea coast.
GEOU-088,Geography,"In geography, Which is a volcano?",Everest,Kilimanjaro,K2,Denali,B,Kilimanjaro is a volcanic mountain.
GEOU-089,Geography,Which is a delta river?,Ganga,Amazon,Nile,All,D,All form deltas.
GEOU-090,Geography,Identify: Which region is coldest?,Sahara,Arctic,Amazon,India,B,Arctic is extremely cold.
GEOU-091,Geography,Choose correctly: Which city is known as Pink City?,Delhi,Jaipur,Agra,Udaipur,B,Jaipur is called Pink City.
GEOU-092,Geography,"In geography, Which river is longest in India?",Yamuna,Ganga,Godavari,Krishna,B,Ganga is longest in India.
GEOU-093,Geography,Which country is in Europe?,India,France,Brazil,Japan,B,France is in Europe.
GEOU-094,Geography,Identify: Which desert is in India?,Sahara,Gobi,Thar,Arabian,C,Thar Desert is in India.
GEOU-095,Geography,Choose correctly: Which ocean touches India?,Atlantic,Indian,Pacific,Arctic,B,India borders the Indian Ocean.
GEOU-096,Geography,"In geography, Which is a peninsula?",India,China,Russia,Canada,A,India is a peninsula.
GEOU-097,Geography,Which country is landlocked?,Nepal,India,Australia,Japan,A,Nepal has no sea coast.
GEOU-098,Geography,Identify: Which is a volcano?,Everest,Kilimanjaro,K2,Denali,B,Kilimanjaro is a volcanic mountain.
GEOU-099,Geography,Choose correctly: Which is a delta river?,Ganga,Amazon,Nile,All,D,All form deltas.
GEOU-100,Geography,"In geography, Which region is coldest?",Sahara,Arctic,Amazon,India,B,Arctic is extremely cold.
